School Name,School Type,Starting Median Salary,Mid-Career Median Salary
University of Illinois at Urbana-Champaign (UIUC),Party,"$52,900.00 ","$96,100.00 "
"University of Maryland, College Park",Party,"$52,000.00 ","$95,000.00 "
"University of California, Santa Barbara (UCSB)",Party,"$50,500.00 ","$95,000.00 "
University of Texas (UT) - Austin,Party,"$49,700.00 ","$93,900.00 "
State University of New York (SUNY) at Albany,Party,"$44,500.00 ","$92,200.00 "
University of Florida (UF),Party,"$47,100.00 ","$87,900.00 "
Louisiana State University (LSU),Party,"$46,900.00 ","$87,800.00 "
University of Georgia (UGA),Party,"$44,100.00 ","$86,000.00 "
Pennsylvania State University (PSU),Party,"$49,900.00 ","$85,700.00 "
Arizona State University (ASU),Party,"$47,400.00 ","$84,100.00 "
"Indiana University (IU), Bloomington",Party,"$46,300.00 ","$84,000.00 "
University of Iowa (UI),Party,"$44,700.00 ","$83,900.00 "
Randolph-Macon College,Party,"$42,600.00 ","$83,600.00 "
"University of Alabama, Tuscaloosa",Party,"$41,300.00 ","$81,400.00 "
University of Mississippi,Party,"$41,400.00 ","$79,700.00 "
University of New Hampshire (UNH),Party,"$41,800.00 ","$78,300.00 "
West Virginia University (WVU),Party,"$43,100.00 ","$78,100.00 "
University of Tennessee,Party,"$43,800.00 ","$74,600.00 "
Ohio University,Party,"$42,200.00 ","$73,400.00 "
Florida State University (FSU),Party,"$42,100.00 ","$73,000.00 "